x,Collection#,Species,Genus,Subfam,Figure
AUM_54990_Baryancistrus_beggini-2.txt.final.txt.final,AUM-54990,Baryancistrus_beggini,Baryancistrus,Hypostominae,B. beg
AUM_54990_Baryancistrus_beggini-3.txt.final.txt.final,AUM-54990,Baryancistrus_beggini,Baryancistrus,Hypostominae,B. beg
AUM_54990_Baryancistrus_beggini-5.txt.final.txt.final,AUM-54990,Baryancistrus_beggini,Baryancistrus,Hypostominae,B. beg
AUM_56668_Hemiancistrus_guahiborum-1.txt.final.txt.final,AUM-56668,Hemiancistrus_guahiborum,Hemiancistrus,Hypostominae,H. gua
AUM_56668_Hemiancistrus_guahiborum-2.txt.final.txt.final,AUM-56668,Hemiancistrus_guahiborum,Hemiancistrus,Hypostominae,H. gua
AUM_57811_Loricaria_simillima-1.txt.final,AUM-57811,Loricaria_simillima,Loricaria,Loricariinae,L. sim
AUM_65116_Peckoltia_ephippiata-2.txt.final.txt.final,AUM-65116,Peckoltia_ephippiata,Peckoltia,Hypostominae,P. eph
AUM_66083_Peckoltichthys_bachi-1.txt.final.txt.final,AUM-66083,Peckoltichthys_bachi,Peckoltichthys,Hypostominae,P. bac
MCB_----_Peckoltia_sp.-1.txt.final.txt.final,MCB-----,Peckoltia_sp.,Peckoltia,Hypostominae,P. sp.
MCB_----_Peckoltia_sp.-3.txt.final.txt.final,MCB-----,Peckoltia_sp.,Peckoltia,Hypostominae,P. sp.
MCP_21972_Peckoltia_maranhão-1.txt.final.txt.final,MCP-21972,Peckoltia_maranhão,Peckoltia,Hypostominae,P. mar
MCP_21972_Peckoltia_maranhão-13.txt.final.txt.final,MCP-21972,Peckoltia_maranhão,Peckoltia,Hypostominae,P. mar
MCP_21972_Peckoltia_maranhão-19.txt.final.txt.final,MCP-21972,Peckoltia_maranhão,Peckoltia,Hypostominae,P. mar
MCP_21972_Peckoltia_maranhão-2.txt.final.txt.final,MCP-21972,Peckoltia_maranhão,Peckoltia,Hypostominae,P. mar
MCP_21972_Peckoltia_maranhão-3.txt.final.txt.final,MCP-21972,Peckoltia_maranhão,Peckoltia,Hypostominae,P. mar
MCP_48395_Peckoltia_ephippiata-1.txt.final.txt.final,MCP-48395,Peckoltia_ephippiata,Peckoltia,Hypostominae,P. eph
MCP_48395_Peckoltia_ephippiata-13.txt.final.txt.final,MCP-48395,Peckoltia_ephippiata,Peckoltia,Hypostominae,P. eph
MCP_48395_Peckoltia_ephippiata-2.txt.final.txt.final,MCP-48395,Peckoltia_ephippiata,Peckoltia,Hypostominae,P. eph
